Sector,Company,Share Code,Volume,Last Traded Price,Change ($)
AGRICULTURAL,Kakuzi Ord.5.00,KE0000000281,77,395.5,0.00
AGRICULTURAL,Sasini Ltd Ord 1.00,KE0000000430,68796,19,2.43
AGRICULTURAL,Eaagads Ltd Ord 1.25,KE0000000208,1538,20.65,-0.72
AGRICULTURAL,Williamson Tea Kenya Ltd Ord 5.00,KE0000000505,2761,240.5,-0.52
AGRICULTURAL,Kapchorua Tea Co. Ltd Ord Ord 5.00,KE4000001760,700,327,0.08
AGRICULTURAL,Limuru Tea Co. Ltd Ord 20.00,KE0000000356,10,310,0.00
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AUTOMOBILES,Kakuzi Ord.5.00,KE0000000281,77,395.5,0.00
AUTOMOBILES,Sasini Ltd Ord 1.00,KE0000000430,68796,19,2.43
AUTOMOBILES,Eaagads Ltd Ord 1.25,KE0000000208,1538,20.65,-0.72
AUTOMOBILES,Williamson Tea Kenya Ltd Ord 5.00,KE0000000505,2761,240.5,-0.52
AUTOMOBILES,Kapchorua Tea Co. Ltd Ord Ord 5.00,KE4000001760,700,327,0.08
AUTOMOBILES,Limuru Tea Co. Ltd Ord 20.00,KE0000000356,10,310,0.00
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
BANKING,Car and General (K) Ltd Ord 5.00,KE0000000109,926,39.25,6.95
BANKING,,,,,
BANKING,,,,,
BANKING,,,,,
BANKING,,,,,
BANKING,,,,,
COMMERCIAL AND SERVICES,Stanbic Holdings Ltd ord.5.00,KE0000000091,86227,180.25,-0.41
COMMERCIAL AND SERVICES,Diamond Trust Bank Kenya Ltd Ord 4.00,KE0000000158,24845,105,0.00
COMMERCIAL AND SERVICES,Equity Bank Ltd Ord 0.50,KE0000000554,4205808,54,0.00
COMMERCIAL AND SERVICES,HF Group Plc Ord 5.00,KE0000000240,116799,10.9,-0.91
COMMERCIAL AND SERVICES,Kenya Commercial Bank Ltd Ord 1.00,KE0000000315,4727022,53,0.00
COMMERCIAL AND SERVICES,National Bank of Kenya Ltd Ord 5.00,KE0000000398,0,4.12,0.00
COMMERCIAL AND SERVICES,NCBA Ltd 0rd 5.00,KE0000000406,196987,74.75,2.40
COMMERCIAL AND SERVICES,Standard Chartered Bank Ltd Ord 5.00,KE0000000448,144129,291.25,-4.90
COMMERCIAL AND SERVICES,The Co-operative Bank of Kenya Ltd Ord 1.00,KE1000001568,737029,20.3,-2.40
COMMERCIAL AND SERVICES,IMH Holdings Ltd Ord 1.00,KE0000000125,66379,43.55,0.00
COMMERCIAL AND SERVICES,Bank of Kigali,KE5000008986,320,37.1,-2.37
COMMERCIAL AND SERVICES,ABSA Bank Kenya Plc Ord 0.50,KE0000000067,629910,23.3,1.30
COMMERCIAL AND SERVICES,,,,,
COMMERCIAL AND SERVICES,,,,,
COMMERCIAL AND SERVICES,,,,,
COMMERCIAL AND SERVICES,,,,,
COMMERCIAL AND SERVICES,,,,,
CONSTRUCTION AND ALLIED,Express Ltd Ord 5.00,KE0000000224,5747,7.94,-1.00
CONSTRUCTION AND ALLIED,Kenya Airways Ltd Ord 5.00,KE0000000307,394015,4.23,-1.40
CONSTRUCTION AND ALLIED,Nation Media Group Ord. 2.50,KE0000000380,1020,13.8,-1.43
CONSTRUCTION AND ALLIED,Scangroup Ltd Ord 1.00,KE0000000562,42138,2.72,-3.89
CONSTRUCTION AND ALLIED,Standard Group Ltd Ord 5.00,KE0000000455,31,6,0.00
CONSTRUCTION AND ALLIED,TPS Eastern Africa (Serena) Plc Ord 1.00,KE0000000539,1585,17.2,-1.71
CONSTRUCTION AND ALLIED,Uchumi Supermarket Ltd Ord 5.00,KE0000000489,603537,.35,6.06
CONSTRUCTION AND ALLIED,Eveready East Africa Ltd Ord.1.00,KE0000000588,258042,1.36,3.03
CONSTRUCTION AND ALLIED,Sameer Africa Ltd Ord 5.00,KE0000000232,18629,14.15,-5.35
CONSTRUCTION AND ALLIED,,,,,
CONSTRUCTION AND ALLIED,,,,,
CONSTRUCTION AND ALLIED,,,,,
CONSTRUCTION AND ALLIED,,,,,
CONSTRUCTION AND ALLIED,,,,,
ENERGY AND PETROLEUM,Athi River Mining Ord 5.00,KE0000000034,0,5.55,0.00
ENERGY AND PETROLEUM,Bamburi Cement Ltd Ord 5.00,KE0000000059,0,54,0.00
ENERGY AND PETROLEUM,Crown Berger Ltd 0rd 5.00,KE0000000141,1255,49.4,-2.66
ENERGY AND PETROLEUM,E.A.Cables Ltd Ord 0.50,KE0000000174,0,1.71,0.00
ENERGY AND PETROLEUM,E.A.Portland Cement Ltd Ord 5.00,KE0000000190,608,58.5,4.46
ENERGY AND PETROLEUM,,,,,
ENERGY AND PETROLEUM,,,,,
ENERGY AND PETROLEUM,,,,,
ENERGY AND PETROLEUM,,,,,
ENERGY AND PETROLEUM,,,,,
INSURANCE,Umeme Ltd Ord 0.50,UG0000001145,465075,8.62,-4.01
INSURANCE,KenGen Ltd Ord. 2.50,KE0000000547,2283357,9.62,-3.02
INSURANCE,Kenya Power Lighting Co Plc Ord 20.00,KE0000000349,1037747,14.45,-0.34
INSURANCE,Total Kenya Ltd Ord 5.00,KE0000000463,3271,37.1,-2.37
INSURANCE,,,,,
INSURANCE,,,,,
INSURANCE,,,,,
INSURANCE,,,,,
INSURANCE,,,,,
INVESTMENT,Jubilee Holdings Ltd Ord 5.00,KE0000000273,23295,320,0.00
INVESTMENT,Kenya Re-Insurance Corporation Ltd Ord 2.50,KE0000000604,2217134,3.36,-1.18
INVESTMENT,Sanlam Insurance Holdings Ltd 0rd 5.00,KE0000000414,11856,9.46,3.50
INVESTMENT,CIC Insurance Group Plc Ord 1.00,KE2000002317,102497,5.18,-1.89
INVESTMENT,Liberty Insurance,KE2000002168,4515,11,0.00
INVESTMENT,British-American Investments Ord 0.10,KE2000002192,96449,8.88,0.91
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT,,,,,
