Sector,Company,Share Code,Volume,Last Traded Price,Change ($)
AGRICULTURAL,Kakuzi Ord.5.00,KE0000000281,27,395.5,0.00
AGRICULTURAL,Sasini Ltd Ord 1.00,KE0000000430,5899,18.6,-2.11
AGRICULTURAL,Eaagads Ltd Ord 1.25,KE0000000208,15236,19.75,-4.36
AGRICULTURAL,Williamson Tea Kenya Ltd Ord 5.00,KE0000000505,1218,245,1.87
AGRICULTURAL,Kapchorua Tea Co. Ltd Ord Ord 5.00,KE4000001760,155,327,0.00
AGRICULTURAL,Limuru Tea Co. Ltd Ord 20.00,KE0000000356,0,310,0.00
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AGRICULTURAL,,,,,
AUTOMOBILES,Kakuzi Ord.5.00,KE0000000281,27,395.5,0.00
AUTOMOBILES,Sasini Ltd Ord 1.00,KE0000000430,5899,18.6,-2.11
AUTOMOBILES,Eaagads Ltd Ord 1.25,KE0000000208,15236,19.75,-4.36
AUTOMOBILES,Williamson Tea Kenya Ltd Ord 5.00,KE0000000505,1218,245,1.87
AUTOMOBILES,Kapchorua Tea Co. Ltd Ord Ord 5.00,KE4000001760,155,327,0.00
AUTOMOBILES,Limuru Tea Co. Ltd Ord 20.00,KE0000000356,0,310,0.00
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
AUTOMOBILES,,,,,
BANKING,Car and General (K) Ltd Ord 5.00,KE0000000109,8114,37.75,-3.82
BANKING,,,,,
BANKING,,,,,
BANKING,,,,,
BANKING,,,,,
BANKING,,,,,
COMMERCIAL ,Stanbic Holdings Ltd ord.5.00,KE0000000091,1120472,180.25,0.00
COMMERCIAL ,Diamond Trust Bank Kenya Ltd Ord 4.00,KE0000000158,11349,104.5,-0.48
COMMERCIAL ,Equity Bank Ltd Ord 0.50,KE0000000554,19531140,54,0.00
COMMERCIAL ,HF Group Plc Ord 5.00,KE0000000240,452459,10.75,-1.38
COMMERCIAL ,Kenya Commercial Bank Ltd Ord 1.00,KE0000000315,10596467,53,0.00
COMMERCIAL ,,,,,
COMMERCIAL ,,,,,
COMMERCIAL ,,,,,
COMMERCIAL ,,,,,
COMMERCIAL ,,,,,
CONSTRUCTION ,Express Ltd Ord 5.00,KE0000000224,30927,7.18,-9.57
CONSTRUCTION ,Kenya Airways Ltd Ord 5.00,KE0000000307,357552,4.06,-4.02
CONSTRUCTION ,Nation Media Group Ord. 2.50,KE0000000380,2153,13.2,-4.35
CONSTRUCTION ,Scangroup Ltd Ord 1.00,KE0000000562,33378,2.75,1.10
CONSTRUCTION ,Standard Group Ltd Ord 5.00,KE0000000455,1208,6.1,1.67
CONSTRUCTION ,TPS Eastern Africa (Serena) Plc Ord 1.00,KE0000000539,8722,16,-6.98
CONSTRUCTION ,Uchumi Supermarket Ltd Ord 5.00,KE0000000489,318832,.35,0.00
CONSTRUCTION ,Eveready East Africa Ltd Ord.1.00,KE0000000588,354195,1.39,2.21
CONSTRUCTION ,Sameer Africa Ltd Ord 5.00,KE0000000232,133285,13.75,-2.83
CONSTRUCTION ,Longhorn Kenya Ltd 1.00,KE2000002275,11871,2.96,4.96
CONSTRUCTION ,,,,,
CONSTRUCTION ,,,,,
CONSTRUCTION ,,,,,
CONSTRUCTION ,,,,,
CONSTRUCTION ,,,,,
ENERGY ,Athi River Mining Ord 5.00,KE0000000034,0,5.55,0.00
ENERGY ,Bamburi Cement Ltd Ord 5.00,KE0000000059,0,54,0.00
ENERGY ,Crown Berger Ltd 0rd 5.00,KE0000000141,395,50,1.21
ENERGY ,E.A.Cables Ltd Ord 0.50,KE0000000174,0,1.71,0.00
ENERGY ,E.A.Portland Cement Ltd Ord 5.00,KE0000000190,9413,59,0.85
ENERGY ,,,,,
ENERGY ,,,,,
ENERGY ,,,,,
ENERGY ,,,,,
ENERGY ,,,,,
INSURANCE,Umeme Ltd Ord 0.50,UG0000001145,387034,8.42,-2.32
INSURANCE,KenGen Ltd Ord. 2.50,KE0000000547,846754,9.52,-1.04
INSURANCE,Kenya Power Lighting Co Plc Ord 20.00,KE0000000349,2398126,14.4,-0.35
INSURANCE,Total Kenya Ltd Ord 5.00,KE0000000463,78452,35.45,-4.45
INSURANCE,,,,,
INSURANCE,,,,,
INSURANCE,,,,,
INSURANCE,,,,,
INSURANCE,,,,,
INVESTMENT,Jubilee Holdings Ltd Ord 5.00,KE0000000273,13573,320,0.00
INVESTMENT,Kenya Re-Insurance Corporation Ltd Ord 2.50,KE0000000604,1875058,3.23,-3.87
INVESTMENT,Sanlam Insurance Holdings Ltd 0rd 5.00,KE0000000414,16809,9.4,-0.63
INVESTMENT,CIC Insurance Group Plc Ord 1.00,KE2000002317,405137,4.93,-4.83
INVESTMENT,Liberty Insurance,KE2000002168,16898,10.5,-4.55
INVESTMENT,British-American Investments Ord 0.10,KE2000002192,32996,8.94,0.68
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT,,,,,
INVESTMENT SERVICES,Kurwitu Ventures,KE4000001216,0,1500,0.00
INVESTMENT SERVICES,Centum Investment Co Ltd Ord 0.50,KE0000000265,107090,14.15,1.80
INVESTMENT SERVICES,Olympia Capital Holdings ltd Ord 5.00,KE0000000166,30900,5.04,-0.79
INVESTMENT SERVICES,Home Afrika Ltd Ord 1.00,KE2000007258,218188,1.37,-9.27
INVESTMENT SERVICES,Trans-Century Ltd Ord 0.50,KE2000002184,0,1.12,0.00
INVESTMENT SERVICES,,,,,
INVESTMENT SERVICES,,,,,
INVESTMENT SERVICES,,,,,
INVESTMENT SERVICES,,,,,
INVESTMENT SERVICES,,,,,
MANUFACTURING ,Nairobi Securities Exchange 4.00,KE3000009674,40736,14.15,-4.07
MANUFACTURING ,,,,,
MANUFACTURING ,,,,,
MANUFACTURING ,,,,,
MANUFACTURING ,,,,,
MANUFACTURING ,,,,,
TELECOMMUNICATION,Africa Mega Agri Corp PLc 5.00,KE0000000331,1084,65,-9.72
TELECOMMUNICATION,B.O.C Kenya Ltd Ord 5.00,KE0000000042,742,125.25,2.04
TELECOMMUNICATION,British American Tobacco Kenya Ltd Ord 10.00,KE0000000075,17757,430.25,-0.52
TELECOMMUNICATION,Carbacid Investments Ltd Ord 5.00,KE0000000117,11923,25.3,0.00
TELECOMMUNICATION,East African Breweries PLC Ord 2.00,KE0000000216,602599,220,0.00
TELECOMMUNICATION,Mumias Sugar Co. Ltd Ord 2.00,KE0000000372,0,.27,0.00
TELECOMMUNICATION,,,,,
TELECOMMUNICATION,,,,,
TELECOMMUNICATION,,,,,
TELECOMMUNICATION,,,,,
TELECOMMUNICATION,,,,,
REAL ESTATE ,Safaricom Ltd Ord 0.05,KE1000001402,23822645,29.35,0.17
REAL ESTATE ,,,,,
REAL ESTATE ,,,,,
REAL ESTATE ,,,,,
REAL ESTATE ,,,,,
REAL ESTATE ,,,,,
ETF,Fahari I-REIT,KE5000003656,0,5.68,0.00
ETF,,,,,
ETF,,,,,
ETF,,,,,
ETF,,,,,
ETF,,,,,
